Puntaje,Goles,Asistencias,Goles + Asistencias,Pases precisos,Pases fallados,Pases totales,Precisión de pase %,Pases precisos en tercio final,Pases clave,Regates completados,Efectividad en regates %,Intercepciones,Tarjetas amarillas,Rojas directas,Tarjetas rojas,Centros precisos,Precisión de centros %,Remates,Remates al arco,Remates fuera,Duelos aéreos ganados,Efectividad en duelos aéreos %,Duelos ganados,Efectividad en duelos %,Minutos jugados,Goles convertidos %,Penales ejecutados,Penales convertidos,Remates de pelota parada,Pases largos precisos,Precisión de pase largo %,Despejes,Errores seguidos por remate,Faltas recibidas,Faltas cometidas,Autogoles,Regateado,Fueras de juego,Remates bloqueados,Pases al asistidor,Atajadas,Centros perdidos,Partidos de titular,penaltyConversion,Centros totales,Duelos perdidos,Pérdidas aéreas,Penales errados,Pases largos totales,scoringFrequency,Doble amarilla,Sustituciones ingresando,Sustituciones saliendo,Saques de arco,Recuperaciones,stats_id,type,Partidos jugados,player_id,league_id,season_id,cleanSheet,goalsConceded
6.64,0.0,0.0,0.0,65.0,23.0,88.0,73.86,10.0,0.0,2.0,100.0,17.0,1.0,0.0,0.0,1.0,33.33,1.0,1.0,0.0,5.0,62.5,25.0,37.88,239.0,0.0,0.0,0.0,0.0,14.0,56.0,3.0,2.0,4.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,,3.0,41.0,3.0,0.0,25.0,,0.0,2.0,3.0,0.0,26.0,1550282,overall,6.0,1535522,703,57782,,
7.3371428571429,0.0,0.0,0.0,404.0,109.0,513.0,78.75,45.0,0.0,1.0,50.0,69.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,94.44,25.0,80.65,3219.0,0.0,0.0,0.0,0.0,161.0,62.65,20.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,1.0,36.0,,0.0,6.0,1.0,0.0,257.0,,0.0,1.0,0.0,324.0,171.0,1291082,overall,36.0,340431,703,57782,20.0,21.0
6.9,0.0,0.0,0.0,36.0,9.0,45.0,80.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,270.0,0.0,0.0,0.0,0.0,12.0,66.67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,,0.0,0.0,0.0,0.0,18.0,,0.0,0.0,0.0,29.0,11.0,1432942,overall,3.0,1182407,703,57782,1.0,2.0
6.5809523809524,3.0,0.0,3.0,145.0,57.0,202.0,71.78,14.0,2.0,8.0,80.0,21.0,2.0,1.0,1.0,0.0,0.0,28.0,10.0,18.0,24.0,33.33,85.0,29.31,1055.0,10.71,0.0,0.0,0.0,3.0,33.33,9.0,3.0,14.0,19.0,0.0,8.0,5.0,1.0,0.0,0.0,0.0,10.0,,4.0,205.0,48.0,0.0,9.0,351.66666666667,0.0,7.0,12.0,0.0,35.0,1304120,overall,22.0,1117060,703,57782,,3.0
6.6266666666667,1.0,2.0,3.0,68.0,39.0,107.0,63.55,6.0,3.0,3.0,33.33,15.0,0.0,0.0,0.0,7.0,46.67,12.0,5.0,7.0,14.0,37.84,35.0,23.33,511.0,8.333,0.0,0.0,0.0,4.0,33.33,3.0,0.0,1.0,16.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,6.0,,15.0,115.0,23.0,0.0,12.0,511.0,0.0,6.0,10.0,0.0,23.0,1428073,overall,16.0,1113237,703,57782,,
6.9142857142857,9.0,1.0,10.0,249.0,127.0,376.0,66.22,21.0,12.0,22.0,66.67,46.0,5.0,1.0,1.0,4.0,19.05,50.0,18.0,32.0,141.0,38.84,300.0,32.97,2534.0,18.0,1.0,1.0,0.0,7.0,53.85,24.0,9.0,61.0,54.0,0.0,20.0,26.0,4.0,1.0,0.0,0.0,29.0,100.0,21.0,610.0,222.0,0.0,13.0,281.55555555556,0.0,21.0,7.0,0.0,69.0,1293133,overall,36.0,1092312,703,57782,,3.0
,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,24.0,,0.0,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,1661492,overall,1.0,1106576,703,57782,,
6.65,3.0,0.0,3.0,173.0,84.0,257.0,67.32,14.0,16.0,16.0,64.0,29.0,1.0,0.0,0.0,3.0,16.67,29.0,10.0,19.0,29.0,24.79,118.0,26.64,1475.0,10.35,0.0,0.0,0.0,8.0,57.14,9.0,8.0,16.0,18.0,0.0,10.0,15.0,4.0,0.0,0.0,0.0,14.0,,18.0,325.0,88.0,0.0,14.0,491.66666666667,0.0,10.0,22.0,0.0,47.0,1292879,overall,36.0,1393676,703,57782,,0.0
6.5875,0.0,1.0,1.0,237.0,69.0,306.0,77.45,38.0,8.0,26.0,65.0,25.0,1.0,0.0,0.0,4.0,33.33,6.0,1.0,5.0,5.0,27.78,77.0,39.49,596.0,0.0,0.0,0.0,2.0,15.0,48.39,5.0,4.0,13.0,10.0,0.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,,12.0,118.0,13.0,0.0,31.0,,0.0,0.0,33.0,0.0,60.0,1293125,overall,33.0,1114260,703,57782,,1.0
7.227027027027,7.0,1.0,9.0,1296.0,306.0,1602.0,80.9,197.0,39.0,48.0,70.59,135.0,2.0,0.0,0.0,18.0,34.62,32.0,11.0,21.0,22.0,35.48,299.0,42.9,2982.0,21.88,7.0,6.0,6.0,123.0,53.48,24.0,14.0,107.0,39.0,0.0,58.0,2.0,3.0,2.0,0.0,0.0,37.0,85.714285714286,52.0,398.0,40.0,1.0,230.0,426.0,0.0,29.0,2.0,0.0,294.0,1293138,overall,39.0,789298,703,57782,,2.0
6.8466666666667,2.0,1.0,3.0,412.0,150.0,562.0,73.31,36.0,19.0,40.0,74.07,53.0,5.0,0.0,0.0,18.0,39.13,31.0,10.0,21.0,5.0,23.81,142.0,36.13,1599.0,6.452,0.0,0.0,6.0,18.0,47.37,9.0,5.0,26.0,11.0,0.0,30.0,2.0,1.0,2.0,0.0,0.0,18.0,,46.0,251.0,16.0,0.0,38.0,799.5,0.0,17.0,14.0,0.0,107.0,1292876,overall,32.0,1157397,703,57782,,2.0
7.1628571428571,1.0,0.0,1.0,1390.0,297.0,1687.0,82.39,179.0,8.0,43.0,75.44,227.0,8.0,0.0,0.0,7.0,36.84,26.0,10.0,16.0,37.0,40.22,310.0,44.6,3213.0,3.846,0.0,0.0,0.0,123.0,49.6,49.0,13.0,84.0,31.0,0.0,71.0,1.0,7.0,0.0,0.0,0.0,36.0,,19.0,385.0,55.0,0.0,248.0,3213.0,0.0,3.0,1.0,0.0,491.0,1293147,overall,37.0,896871,703,57782,,3.0
,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,46.0,,0.0,0.0,,,,,,,,0.0,,,,,,,1.0,,,,,,,,0.0,,,,,1659439,overall,1.0,990053,703,57782,,
6.7,0.0,0.0,0.0,51.0,15.0,66.0,77.27,11.0,0.0,4.0,80.0,19.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.5,22.0,33.85,252.0,0.0,0.0,0.0,0.0,5.0,45.45,2.0,1.0,3.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,,1.0,43.0,7.0,0.0,11.0,,0.0,2.0,2.0,0.0,32.0,1293145,overall,5.0,340843,703,57782,,
6.6384615384615,1.0,0.0,1.0,79.0,45.0,124.0,63.71,10.0,4.0,23.0,65.71,16.0,0.0,0.0,0.0,3.0,15.0,4.0,2.0,2.0,4.0,25.0,40.0,31.25,361.0,25.0,0.0,0.0,0.0,8.0,57.14,4.0,1.0,3.0,5.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,3.0,,20.0,88.0,12.0,0.0,14.0,361.0,0.0,3.0,13.0,0.0,25.0,1293126,overall,16.0,1111937,703,57782,,
6.8973684210526,4.0,3.0,7.0,652.0,263.0,915.0,71.26,61.0,24.0,99.0,61.11,116.0,1.0,0.0,0.0,36.0,28.13,48.0,12.0,36.0,24.0,38.1,315.0,37.68,3214.0,8.333,0.0,0.0,0.0,28.0,45.9,21.0,11.0,42.0,30.0,0.0,60.0,7.0,5.0,2.0,0.0,0.0,38.0,,128.0,521.0,39.0,0.0,61.0,803.5,0.0,15.0,0.0,0.0,215.0,1292880,overall,38.0,1597527,703,57782,,3.0
6.848,1.0,0.0,1.0,488.0,122.0,610.0,80.0,33.0,0.0,8.0,88.89,79.0,4.0,0.0,0.0,2.0,50.0,7.0,3.0,4.0,55.0,74.32,115.0,56.37,1336.0,14.29,0.0,0.0,0.0,64.0,49.61,54.0,5.0,16.0,6.0,0.0,14.0,0.0,7.0,0.0,0.0,0.0,16.0,,4.0,89.0,19.0,0.0,129.0,1336.0,0.0,8.0,11.0,8.0,182.0,1293149,overall,27.0,174855,703,57782,1.0,2.0
7.0533333333333,1.0,0.0,1.0,479.0,98.0,577.0,83.02,61.0,1.0,6.0,100.0,60.0,3.0,0.0,0.0,1.0,25.0,10.0,3.0,7.0,24.0,57.14,58.0,48.74,1141.0,10.0,0.0,0.0,3.0,84.0,60.0,42.0,9.0,3.0,8.0,0.0,16.0,0.0,9.0,0.0,0.0,0.0,13.0,,4.0,61.0,18.0,0.0,140.0,1141.0,0.0,8.0,3.0,21.0,121.0,1426874,overall,16.0,1016645,703,57782,0.0,1.0
6.9972972972973,0.0,7.0,7.0,971.0,373.0,1344.0,72.25,137.0,46.0,35.0,53.85,110.0,4.0,0.0,0.0,58.0,36.25,28.0,9.0,19.0,45.0,48.39,194.0,36.6,3272.0,0.0,0.0,0.0,4.0,110.0,53.4,38.0,18.0,13.0,18.0,1.0,69.0,5.0,6.0,2.0,0.0,0.0,38.0,,160.0,336.0,48.0,0.0,206.0,,0.0,12.0,0.0,0.0,247.0,1299046,overall,38.0,1118570,703,57782,1.0,3.0
6.8882352941176,0.0,2.0,2.0,837.0,272.0,1109.0,75.47,122.0,11.0,32.0,65.31,148.0,4.0,0.0,0.0,17.0,25.0,25.0,1.0,24.0,57.0,60.0,209.0,43.0,2509.0,0.0,0.0,0.0,4.0,116.0,51.33,51.0,9.0,21.0,14.0,0.0,78.0,3.0,7.0,0.0,0.0,0.0,27.0,,68.0,277.0,38.0,0.0,226.0,,0.0,5.0,10.0,2.0,294.0,1292885,overall,37.0,1179170,703,57782,0.0,1.0
6.6333333333333,0.0,0.0,0.0,82.0,22.0,104.0,78.85,13.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,9.0,52.94,18.0,25.71,279.0,0.0,0.0,0.0,0.0,10.0,71.43,8.0,4.0,7.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,,2.0,52.0,8.0,0.0,14.0,,0.0,2.0,3.0,0.0,36.0,1428072,overall,6.0,1175211,703,57782,,
6.9823529411765,0.0,1.0,1.0,1137.0,239.0,1376.0,82.63,80.0,6.0,10.0,83.33,173.0,8.0,1.0,2.0,1.0,12.5,8.0,1.0,7.0,88.0,58.67,250.0,46.47,3019.0,0.0,0.0,0.0,0.0,124.0,49.6,134.0,24.0,46.0,29.0,0.0,54.0,2.0,15.0,0.0,0.0,0.0,34.0,,8.0,288.0,62.0,0.0,250.0,,1.0,2.0,1.0,29.0,369.0,1293132,overall,35.0,1015675,703,57782,1.0,3.0
