event_id,team,team_id,score_for,score_against,win,draw,loose,local
12239239,Estudiantes R.C.,266694,3,0,True,False,False,Away
11972469,Nueva Chicago,3200,2,0,True,False,False,Home
11972469,Atlético Rafaela,34976,0,2,False,False,True,Away
11972462,Agropecuario,265787,1,2,False,False,True,Home
11972462,Gimnasia J.,5292,2,1,True,False,False,Away
11972463,All Boys,36834,0,0,False,True,False,Home
11972463,Güemes,224646,0,0,False,True,False,Away
11972475,Estudiantes B.A.,93107,1,1,False,True,False,Home
11972475,Almagro,4938,1,1,False,True,False,Away
11972464,Tristán Suárez,93513,2,2,False,True,False,Home
11972464,Alvarado,273715,2,2,False,True,False,Away
11972466,Brown de Adrogué,107201,0,3,False,False,True,Home
11972466,Defensores,52215,3,0,True,False,False,Away
11972473,Aldosivi,36836,0,0,False,True,False,Home
11972473,Almirante Brown,43740,0,0,False,True,False,Away
11972459,Arsenal,3221,1,0,True,False,False,Home
11972459,San Miguel,264945,0,1,False,False,True,Away
11972457,Chacarita Jrs.,3214,0,1,False,False,True,Home
11972457,Talleres R.E.,201162,1,0,True,False,False,Away
11972468,Dep. Morón,93109,1,2,False,False,True,Home
11972468,San Telmo,213361,2,1,True,False,False,Away
11972471,Gimnasia y Tiro,222126,1,0,True,False,False,Home
11972471,Def. Unidos,93515,0,1,False,False,True,Away
11972461,Guillermo Brown,53801,1,1,False,True,False,Home
11972461,Deportivo Maipú,213042,1,1,False,True,False,Away
11972472,Mitre,255425,0,0,False,True,False,Home
11972472,Atlanta,53799,0,0,False,True,False,Away
11972467,Temperley,112499,1,1,False,True,False,Home
11972467,Chaco For Ever,252726,1,1,False,True,False,Away
11972460,San Martín,7772,3,2,True,False,False,Home
11972460,Ferro Carril Oeste,36841,2,3,False,False,True,Away
11972465,Patronato,43741,2,1,True,False,False,Home
11972465,Racing de Córdoba,273657,1,2,False,False,True,Away
11972474,Estudiantes R.C.,266694,1,2,False,False,True,Home
11972474,Colón,3207,2,1,True,False,False,Away
12091120,SM Tucumán,23950,0,0,False,True,False,Home
12091120,Quilmes,4936,0,0,False,True,False,Away
12091139,Gimnasia Mendoza,188441,2,1,True,False,False,Home
12091139,Deportivo Madryn,222120,1,2,False,False,True,Away
11972490,Atlético Rafaela,34976,1,2,False,False,True,Home
11972490,Dep. Morón,93109,2,1,True,False,False,Away
11972493,Defensores,52215,0,0,False,True,False,Home
11972493,Almagro,4938,0,0,False,True,False,Away
11972489,Deportivo Madryn,222120,0,0,False,True,False,Home
11972489,Nueva Chicago,3200,0,0,False,True,False,Away
11972484,Estudiantes B.A.,93107,0,0,False,True,False,Home
11972484,Chacarita Jrs.,3214,0,0,False,True,False,Away
11972481,San Miguel,264945,1,1,False,True,False,Home
11972481,San Martín,7772,1,1,False,True,False,Away
11972480,Ferro Carril Oeste,36841,1,2,False,False,True,Home
11972480,Guillermo Brown,53801,2,1,True,False,False,Away
11972492,Chaco For Ever,252726,3,0,True,False,False,Home
11972492,Brown de Adrogué,107201,0,3,False,False,True,Away
11972482,Quilmes,4936,0,0,False,True,False,Home
11972482,Arsenal,3221,0,0,False,True,False,Away
11972486,Almirante Brown,43740,2,0,True,False,False,Home
11972486,Mitre,255425,0,2,False,False,True,Away
11972488,Def. Unidos,93515,3,1,True,False,False,Home
11972488,Gimnasia Mendoza,188441,1,3,False,False,True,Away
11972478,Gimnasia J.,5292,0,1,False,False,True,Home
11972478,All Boys,36834,1,0,True,False,False,Away
11972477,Güemes,224646,2,2,False,True,False,Home
11972477,Tristán Suárez,93513,2,2,False,True,False,Away
11972479,Deportivo Maipú,213042,1,2,False,False,True,Home
11972479,Agropecuario,265787,2,1,True,False,False,Away
11972476,Alvarado,273715,2,0,True,False,False,Home
11972476,Patronato,43741,0,2,False,False,True,Away
11972485,Colón,3207,1,1,False,True,False,Home
11972485,Aldosivi,36836,1,1,False,True,False,Away
