player_id,team,nationality,birth_date,age,height,preferred_foot,position,shirt_number,market_value,pos,positions
1087032,Talleres Remedios de Escalada,ARG,21 feb 2002,22 años,166 cm,Izquierdo,D,33,,[],[]
1627956,Talleres Remedios de Escalada,ARG,19 dic 1996,27 años,185 cm,Derecho,D,5,93K €,[],[]
1108984,Talleres Remedios de Escalada,ARG,8 sept 1996,28 años,185 cm,Derecho,D,2,52K €,[],[]
789367,Talleres Remedios de Escalada,ARG,24 mar 1993,31 años,179 cm,Izquierdo,D,3,23K €,[],[]
943180,Talleres Remedios de Escalada,ARG,15 sept 1994,30 años,180 cm,Derecho,D,4,24K €,[],[]
1627939,Talleres Remedios de Escalada,ARG,24 oct 2002,22 años,Derecho,D,14,ARG,,[],[]
1645923,Talleres Remedios de Escalada,ARG,20 nov 2000,23 años,167 cm,Derecho,D,15,,[],[]
941475,Talleres Remedios de Escalada,ARG,23 sept 1995,29 años,190 cm,Derecho,G,1,110K €,[],[]
1627989,Talleres Remedios de Escalada,ARG,7 ene 2000,24 años,185 cm,Derecho,G,12,,[],[]
1923752,Talleres Remedios de Escalada,ARG,Nacionalidad,ARG,,,,,,[],[]
1925468,Talleres Remedios de Escalada,,Número de Camiseta,18,,,,,,[],[]
1940842,Talleres Remedios de Escalada,ARG,21 oct 2005,19 años,16,ARG,19 años,16,,[],[]
1964919,Talleres Remedios de Escalada,ARG,Nacionalidad,ARG,,,,,,[],[]
1485384,Estudiantes de La Plata,ARG,14 may 2003,21 años,178 cm,F,29,ARG,,[],[]
174509,Guillermo Brown,ARG,31 mar 1989,35 años,171 cm,Derecho,F,11,170K €,[],[]
922447,Guillermo Brown,ARG,12 may 2000,24 años,184 cm,Derecho,F,46,71K €,[],[]
926420,CA 3 de Febrero,PAR,9 feb 2000,24 años,F,9,PAR,24 años,,[],[]
1103048,Guillermo Brown,ARG,8 feb 2002,22 años,185 cm,Derecho,F,7,185K €,[],[]
971173,Guillermo Brown,COL,1 feb 1999,25 años,170 cm,Izquierdo,M,10,145K €,[],[]
843002,Guillermo Brown,ARG,24 dic 1987,36 años,175 cm,Derecho,M,8,23K €,[],[]
860053,Guillermo Brown,ARG,24 mar 1998,26 años,179 cm,Derecho,M,5,130K €,[],[]
868359,Guillermo Brown,ARG,22 ago 1997,27 años,171 cm,Derecho,M,17,82K €,[],[]
1065604,Guillermo Brown,ARG,15 abr 2002,22 años,180 cm,Derecho,M,19,,[],[]
1196560,Guillermo Brown,ARG,17 sept 1997,27 años,167 cm,Derecho,M,18,,[],[]
1654396,Guillermo Brown,,Número de Camiseta,20,M,20,,,,[],[]
1654496,Guillermo Brown,ARG,8 ago 2002,22 años,M,18,ARG,22 años,,[],[]
1117101,Argentinos Juniors,ARG,18 may 2002,22 años,184 cm,Derecho,D,6,,[],[]
976099,Guillermo Brown,URU,26 ene 1991,33 años,179 cm,Ambos,D,15,72K €,[],[]
875380,Guillermo Brown,ARG,23 feb 1996,28 años,183 cm,Derecho,D,2,185K €,[],[]
1200740,Club Atlético Unión de Santa Fe,ARG,6 ene 2002,22 años,168 cm,D,4,ARG,,[],[]
155698,Guillermo Brown,ARG,25 ene 1994,30 años,173 cm,Izquierdo,D,3,155K €,[],[]
871852,Guillermo Brown,ARG,6 dic 1996,27 años,174 cm,Izquierdo,D,16,140K €,[],[]
840764,Guillermo Brown,ARG,17 jun 1994,30 años,183 cm,Derecho,D,13,53K €,[],[]
1863007,Guillermo Brown,ARG,9 may 2002,22 años,172 cm,Derecho,D,ARG,,[],[]
1891465,Guillermo Brown,ARG,16 may 1994,30 años,D,14,ARG,30 años,,[],[]
973561,Godoy Cruz,ARG,23 nov 2001,22 años,180 cm,Derecho,G,1,,[],[]
174963,Guillermo Brown,ARG,28 feb 1990,34 años,186 cm,Derecho,G,12,73K €,[],[]
1512561,Guillermo Brown,ARG,17 ago 2001,23 años,184 cm,Derecho,12,ARG,,[],[]
1802277,Guillermo Brown,,Número de Camiseta,19,,,,,,[],[]
1654399,Guillermo Brown,,Número de Camiseta,16,,,,,,[],[]
