time,incidentType,incidentClass,isHome,player_id,player_shortName,player_jerseyNumber,playerIn_id,playerIn_shortName,playerIn_jerseyNumber,playerOut_id,playerOut_shortName,playerOut_jerseyNumber
90,card,yellow,home,871852.0,C. Gorgerino,16,,,,,,
89,card,yellow,away,1491299.0,A. Olinick,8,,,,,,
88,card,yellow,home,1094182.0,K. Lencina,17,,,,,,
86,substitution,regular,away,,,,1491299.0,A. Olinick,8,895207.0,M. Pardo,11
84,card,red,home,860053.0,F. Marín,5,,,,,,
83,substitution,regular,home,,,,1094182.0,K. Lencina,17,860053.0,F. Marín,5
83,substitution,regular,home,,,,1654500.0,G. A. Chiavetto,17,971173.0,C. Machado,10
77,substitution,regular,away,,,,931227.0,C. Monges,24,1210369.0,A. Oyola,19
77,substitution,regular,away,,,,1597507.0,C. L. Monti,11,249875.0,F. Curuchet,7
74,goal,regular,home,174509.0,M. Fernández,11,,,,,,
73,substitution,regular,home,,,,843002.0,R. Perez,8,1065604.0,M. Luayza,19
67,substitution,regular,away,,,,249357.0,D. Garcia,8,1597505.0,B. I. Nasta,9
66,substitution,regular,home,,,,868359.0,B. Álvarez,17,1103048.0,M. Galeano,7
66,substitution,regular,home,,,,926420.0,H. Sandoval,9,1654396.0,F. Funes,20
62,card,yellow,home,1103048.0,M. Galeano,7,,,,,,
61,card,yellow,away,1015255.0,A. Bustos,16,,,,,,
58,card,yellow,away,1597505.0,B. I. Nasta,9,,,,,,
45,period,,home,,,,,,,,,
36,card,yellow,away,789368.0,F. Gonzalez,14,,,,,,
2,goal,regular,away,1597505.0,B. I. Nasta,9,,,,,,
90,period,,home,,,,,,,,,
90,injuryTime,,home,,,,,,,,,
89,substitution,regular,home,,,,1108449.0,R. Cáseres,2,974657.0,S. L. Garcia,8
84,substitution,regular,away,,,,799953.0,E. Bogado,19,943795.0,S. Jaurena,10
84,substitution,regular,away,,,,988615.0,F. Boasso,19,1654537.0,T. A. Rambert,11
78,substitution,regular,home,,,,946195.0,T. Fernández,7,1650462.0,M. Gutiérrez,19
78,substitution,regular,home,,,,1184300.0,K. González,17,895355.0,M. Casa,19
73,substitution,regular,away,,,,583662.0,M. Barbieri,,376740.0,G. Vadalá,18
69,substitution,regular,home,,,,106231.0,F. González,18,340939.0,J. Zacaria,14
69,substitution,regular,home,,,,1017377.0,T. Escalante,11,842864.0,N. Franco,20
65,substitution,regular,away,,,,929000.0,A. Aleo,3,1654448.0,L. Monzón,13
65,substitution,regular,away,,,,1597496.0,L. G. Rebecchi,9,806381.0,O. Belinetz,9
60,card,yellow,away,583664.0,N. Leyes,15,,,,,,
45,period,,home,,,,,,,,,
45,injuryTime,,home,,,,,,,,,
37,goal,regular,home,842864.0,N. Franco,20,,,,,,
21,card,yellow,away,1654537.0,T. A. Rambert,11,,,,,,
90,period,,home,,,,,,,,,
90,injuryTime,,home,,,,,,,,,
88,card,yellow,away,340755.0,F. O. Laumann,13,,,,,,
79,substitution,regular,away,,,,1650461.0,M. Barbero,14,824589.0,C. Salto,10
79,substitution,regular,away,,,,941474.0,G. Aquilino,20,1133806.0,A. D. Sayago,11
