minute,value,event_id
19.0,9,11972383
20.0,68,11972383
21.0,48,11972383
22.0,57,11972383
23.0,31,11972383
24.0,16,11972383
25.0,3,11972383
26.0,-18,11972383
27.0,-19,11972383
28.0,43,11972383
29.0,62,11972383
30.0,34,11972383
31.0,25,11972383
32.0,19,11972383
33.0,27,11972383
34.0,36,11972383
35.0,30,11972383
36.0,15,11972383
37.0,13,11972383
38.0,30,11972383
39.0,35,11972383
40.0,24,11972383
41.0,11,11972383
42.0,-97,11972383
43.0,-88,11972383
44.0,-50,11972383
45.0,-27,11972383
45.5,115,11972383
46.0,2,11972383
47.0,-122,11972383
48.0,-79,11972383
49.0,124,11972383
50.0,49,11972383
51.0,28,11972383
52.0,14,11972383
53.0,13,11972383
54.0,4,11972383
55.0,-2,11972383
56.0,24,11972383
57.0,29,11972383
58.0,14,11972383
59.0,7,11972383
60.0,28,11972383
61.0,-32,11972383
62.0,-34,11972383
63.0,-62,11972383
64.0,-39,11972383
65.0,-92,11972383
66.0,-79,11972383
67.0,-52,11972383
68.0,-60,11972383
69.0,-37,11972383
70.0,-14,11972383
71.0,-28,11972383
72.0,24,11972383
73.0,5,11972383
74.0,-4,11972383
75.0,-8,11972383
76.0,34,11972383
77.0,10,11972383
78.0,-38,11972383
79.0,53,11972383
80.0,24,11972383
81.0,-23,11972383
82.0,-3,11972383
83.0,-3,11972383
84.0,-12,11972383
85.0,-15,11972383
86.0,-4,11972383
87.0,3,11972383
88.0,-32,11972383
89.0,-21,11972383
90.0,-14,11972383
90.5,-30,11972383
1.0,-6,11972390
2.0,44,11972390
3.0,100,11972390
4.0,52,11972390
5.0,14,11972390
6.0,12,11972390
7.0,73,11972390
8.0,71,11972390
9.0,71,11972390
10.0,45,11972390
11.0,27,11972390
12.0,6,11972390
13.0,1,11972390
14.0,-8,11972390
15.0,-7,11972390
16.0,-7,11972390
17.0,-8,11972390
18.0,-5,11972390
19.0,51,11972390
20.0,35,11972390
21.0,17,11972390
22.0,10,11972390
23.0,-11,11972390
24.0,-3,11972390
25.0,-3,11972390
26.0,5,11972390
27.0,1,11972390
28.0,6,11972390
29.0,-11,11972390
30.0,-6,11972390
31.0,-25,11972390
32.0,-16,11972390
33.0,30,11972390
34.0,33,11972390
35.0,20,11972390
36.0,13,11972390
37.0,3,11972390
38.0,5,11972390
39.0,5,11972390
40.0,27,11972390
41.0,21,11972390
42.0,7,11972390
43.0,-6,11972390
44.0,5,11972390
45.0,10,11972390
45.5,-11,11972390
46.0,10,11972390
47.0,5,11972390
48.0,-11,11972390
49.0,-1,11972390
50.0,10,11972390
51.0,10,11972390
52.0,10,11972390
53.0,36,11972390
54.0,21,11972390
55.0,16,11972390
56.0,8,11972390
57.0,4,11972390
58.0,-2,11972390
59.0,-7,11972390
60.0,-11,11972390
61.0,-8,11972390
62.0,-6,11972390
63.0,-4,11972390
64.0,-19,11972390
65.0,-42,11972390
66.0,-27,11972390
67.0,-12,11972390
68.0,-9,11972390
69.0,-6,11972390
70.0,-3,11972390
71.0,-3,11972390
72.0,-4,11972390
73.0,-34,11972390
74.0,-67,11972390
75.0,-46,11972390
76.0,-19,11972390
77.0,24,11972390
78.0,8,11972390
79.0,7,11972390
80.0,13,11972390
81.0,6,11972390
82.0,6,11972390
83.0,2,11972390
84.0,-2,11972390
85.0,-53,11972390
86.0,-33,11972390
87.0,29,11972390
88.0,15,11972390
89.0,18,11972390
90.0,20,11972390
90.5,135,11972390
1.0,-7,11972399
2.0,-31,11972399
3.0,-20,11972399
4.0,-44,11972399
5.0,35,11972399
6.0,47,11972399
7.0,36,11972399
8.0,-29,11972399
9.0,8,11972399
10.0,15,11972399
11.0,8,11972399
12.0,-13,11972399
13.0,-2,11972399
14.0,8,11972399
15.0,6,11972399
16.0,7,11972399
17.0,38,11972399
18.0,46,11972399
19.0,60,11972399
20.0,44,11972399
21.0,29,11972399
22.0,18,11972399
23.0,33,11972399
24.0,15,11972399
25.0,12,11972399
26.0,40,11972399
27.0,27,11972399
28.0,23,11972399
29.0,18,11972399
30.0,9,11972399
31.0,6,11972399
32.0,1,11972399
33.0,-4,11972399
34.0,32,11972399
35.0,20,11972399
36.0,13,11972399
37.0,15,11972399
38.0,11,11972399
39.0,11,11972399
40.0,13,11972399
41.0,19,11972399
42.0,13,11972399
43.0,14,11972399
44.0,15,11972399
45.0,9,11972399
45.5,-40,11972399
46.0,36,11972399
47.0,17,11972399
48.0,11,11972399
49.0,57,11972399
50.0,34,11972399
51.0,19,11972399
52.0,12,11972399
53.0,8,11972399
54.0,77,11972399
55.0,42,11972399
56.0,-30,11972399
57.0,-2,11972399
58.0,-6,11972399
59.0,-3,11972399
60.0,16,11972399
61.0,52,11972399
62.0,37,11972399
63.0,28,11972399
