event_id,round_number,home_id,home_shortName,home_score,away_id,away_shortName,away_score
11972565,9,53799,Atlanta,,112499,Temperley,
11972554,9,36841,Ferro Carril Oeste,1.0,43741,Patronato,1.0
11972560,9,23950,SM Tucumán,3.0,3221,Arsenal,0.0
11972555,9,264945,San Miguel,3.0,93513,Tristán Suárez,2.0
11972558,9,93107,Estudiantes B.A.,2.0,53801,Guillermo Brown,1.0
11972557,9,201162,Talleres R.E.,1.0,265787,Agropecuario,5.0
11972567,9,222120,Deportivo Madryn,2.0,4938,Almagro,0.0
11972552,9,5292,Gimnasia J.,1.0,273715,Alvarado,0.0
11972556,9,4936,Quilmes,1.0,36834,All Boys,0.0
11972561,9,36836,Aldosivi,2.0,222126,Gimnasia y Tiro,2.0
11972553,9,213042,Deportivo Maipú,1.0,273657,Racing de Córdoba,0.0
11972570,9,255425,Mitre,2.0,224646,Güemes,0.0
11972562,9,266694,Estudiantes R.C.,1.0,188441,Gimnasia Mendoza,1.0
11972568,9,34976,Atlético Rafaela,0.0,52215,Defensores,1.0
12213142,9,53799,Atlanta,0.0,112499,Temperley,2.0
11972586,10,3200,Nueva Chicago,0.0,266694,Estudiantes R.C.,1.0
11972583,10,107201,Brown de Adrogué,2.0,53799,Atlanta,3.0
11972584,10,112499,Temperley,1.0,43740,Almirante Brown,1.0
11972582,10,4938,Almagro,1.0,93515,Def. Unidos,1.0
11972587,10,188441,Gimnasia Mendoza,2.0,36836,Aldosivi,3.0
11972580,10,252726,Chaco For Ever,2.0,34976,Atlético Rafaela,0.0
11972573,10,265787,Agropecuario,0.0,93107,Estudiantes B.A.,0.0
11972578,10,273715,Alvarado,0.0,213042,Deportivo Maipú,1.0
11972574,10,36834,All Boys,1.0,201162,Talleres R.E.,0.0
11972585,10,93109,Dep. Morón,0.0,3207,Colón,2.0
11972575,10,93513,Tristán Suárez,1.0,4936,Quilmes,3.0
11972589,10,3221,Arsenal,0.0,213361,San Telmo,0.0
11972572,10,53801,Guillermo Brown,0.0,3214,Chacarita Jrs.,3.0
11972588,10,222126,Gimnasia y Tiro,1.0,255425,Mitre,0.0
11972577,10,273657,Racing de Córdoba,1.0,36841,Ferro Carril Oeste,1.0
11972579,10,224646,Güemes,1.0,5292,Gimnasia J.,1.0
11972571,10,7772,San Martín,0.0,23950,SM Tucumán,0.0
11972581,10,52215,Defensores,2.0,222120,Deportivo Madryn,3.0
11972576,10,43741,Patronato,0.0,264945,San Miguel,1.0
11972597,11,23950,SM Tucumán,0.0,53801,Guillermo Brown,0.0
11972604,11,53799,Atlanta,3.0,4938,Almagro,0.0
11972595,11,93107,Estudiantes B.A.,1.0,36834,All Boys,1.0
11972605,11,93515,Def. Unidos,3.0,52215,Defensores,2.0
11972591,11,36841,Ferro Carril Oeste,,273715,Alvarado,
11972593,11,4936,Quilmes,,43741,Patronato,
11972602,11,3207,Colón,0.0,112499,Temperley,0.0
11972594,11,201162,Talleres R.E.,1.0,93513,Tristán Suárez,0.0
11972599,11,255425,Mitre,0.0,188441,Gimnasia Mendoza,1.0
11972598,11,3221,Arsenal,0.0,7772,San Martín,0.0
11972606,11,222120,Deportivo Madryn,1.0,252726,Chaco For Ever,0.0
11972592,11,264945,San Miguel,2.0,273657,Racing de Córdoba,0.0
11972596,11,3214,Chacarita Jrs.,2.0,265787,Agropecuario,1.0
11972600,11,36836,Aldosivi,0.0,3200,Nueva Chicago,0.0
11972608,11,222126,Gimnasia y Tiro,0.0,5292,Gimnasia J.,0.0
11972607,11,34976,Atlético Rafaela,1.0,213361,San Telmo,2.0
11972601,11,266694,Estudiantes R.C.,2.0,93109,Dep. Morón,0.0
11972603,11,43740,Almirante Brown,1.0,107201,Brown de Adrogué,2.0
11972590,11,213042,Deportivo Maipú,1.0,224646,Güemes,1.0
12262054,11,4936,Quilmes,2.0,43741,Patronato,2.0
12245548,11,36841,Ferro Carril Oeste,3.0,273715,Alvarado,0.0
11972612,12,93513,Tristán Suárez,0.0,93107,Estudiantes B.A.,1.0
11972621,12,4938,Almagro,1.0,43740,Almirante Brown,0.0
11972613,12,43741,Patronato,1.0,201162,Talleres R.E.,1.0
11972625,12,3200,Nueva Chicago,1.0,255425,Mitre,0.0
11972610,12,265787,Agropecuario,0.0,23950,SM Tucumán,1.0
11972620,12,52215,Defensores,2.0,53799,Atlanta,0.0
11972622,12,107201,Brown de Adrogué,0.0,3207,Colón,4.0
11972609,12,53801,Guillermo Brown,2.0,3221,Arsenal,0.0
11972624,12,93109,Dep. Morón,2.0,36836,Aldosivi,1.0
11972615,12,273715,Alvarado,1.0,264945,San Miguel,0.0
11972618,12,213361,San Telmo,2.0,222120,Deportivo Madryn,1.0
11972623,12,112499,Temperley,0.0,266694,Estudiantes R.C.,1.0
11972617,12,5292,Gimnasia J.,2.0,213042,Deportivo Maipú,0.0
11972627,12,7772,San Martín,2.0,34976,Atlético Rafaela,1.0
11972619,12,252726,Chaco For Ever,3.0,93515,Def. Unidos,0.0
11972626,12,188441,Gimnasia Mendoza,0.0,222126,Gimnasia y Tiro,0.0
11972616,12,224646,Güemes,1.0,36841,Ferro Carril Oeste,3.0
11972611,12,36834,All Boys,0.0,3214,Chacarita Jrs.,0.0
11972614,12,273657,Racing de Córdoba,1.0,4936,Quilmes,0.0
11972641,13,3207,Colón,3.0,4938,Almagro,0.0
11972640,13,266694,Estudiantes R.C.,2.0,107201,Brown de Adrogué,1.0
11972644,13,93515,Def. Unidos,2.0,213361,San Telmo,2.0
11972643,13,53799,Atlanta,1.0,252726,Chaco For Ever,0.0
11972642,13,43740,Almirante Brown,0.0,52215,Defensores,2.0
11972635,13,3221,Arsenal,1.0,265787,Agropecuario,0.0
11972645,13,222120,Deportivo Madryn,1.0,34976,Atlético Rafaela,1.0
11972632,13,93107,Estudiantes B.A.,0.0,43741,Patronato,0.0
11972646,13,188441,Gimnasia Mendoza,0.0,213042,Deportivo Maipú,1.0
11972629,13,264945,San Miguel,1.0,224646,Güemes,0.0
11972638,13,255425,Mitre,0.0,93109,Dep. Morón,0.0
11972636,13,7772,San Martín,1.0,53801,Guillermo Brown,0.0
11972631,13,201162,Talleres R.E.,,273657,Racing de Córdoba,
11972639,13,36836,Aldosivi,1.0,112499,Temperley,1.0
11972634,13,23950,SM Tucumán,0.0,36834,All Boys,0.0
11972633,13,3214,Chacarita Jrs.,1.0,93513,Tristán Suárez,2.0
11972637,13,222126,Gimnasia y Tiro,2.0,3200,Nueva Chicago,0.0
11972628,13,36841,Ferro Carril Oeste,2.0,5292,Gimnasia J.,0.0
11972630,13,4936,Quilmes,1.0,273715,Alvarado,1.0
12283032,13,201162,Talleres R.E.,0.0,273657,Racing de Córdoba,0.0
11972662,14,112499,Temperley,2.0,255425,Mitre,0.0
11972663,14,93109,Dep. Morón,0.0,222126,Gimnasia y Tiro,0.0
11972649,14,93513,Tristán Suárez,0.0,23950,SM Tucumán,0.0
11972658,14,252726,Chaco For Ever,0.0,43740,Almirante Brown,0.0
11972648,14,36834,All Boys,,3221,Arsenal,
11972659,14,52215,Defensores,,3207,Colón,
11972647,14,265787,Agropecuario,0.0,7772,San Martín,1.0
11972656,14,34976,Atlético Rafaela,1.0,93515,Def. Unidos,0.0
11972661,14,107201,Brown de Adrogué,0.0,36836,Aldosivi,1.0
11972657,14,213361,San Telmo,0.0,53799,Atlanta,1.0
11972665,14,53801,Guillermo Brown,0.0,222120,Deportivo Madryn,1.0
11972653,14,224646,Güemes,1.0,4936,Quilmes,0.0
11972652,14,273715,Alvarado,2.0,201162,Talleres R.E.,0.0
11972655,14,213042,Deportivo Maipú,2.0,36841,Ferro Carril Oeste,1.0
